layer, FSRAM required per lane (bytes), ISRAM required per lane (bytes),,,,,,,,,,,,,,,,,,,,,,,,
Conv1,363,22473,,,,,,,,,,,,,,,,,,,,,,,,
Conv2,2400,52800,,,,,,,,,,,,,,,,,,,,,,,,
Conv3,2304,20736,,,,,,,,,,,,,,,,,,,,,,,,
Conv4,3456,14976,,,,,,,,,,,,,,,,,,,,,,,,
Conv5,3456,14976,,,,,,,,,,,,,,,,,,,,,,,,
max,3456,52800,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
layer,round,phase,run cycles,filter stalls,IF stalls,MACops,ISRAM read (bytes),FSRAM read (bytes),ISRAM write (bytes),FSRAM write (bytes),DRAM read (bytes), DRAM write (bytes),h lanes, v lanes, isram read energy(pJ), fsram read energy (pJ), isram write energy(pJ), fsram write energy (pJ), dram read energy (pJ), dram write energy (pJ), mac op energy (pJ), energy (pJ), start cycle offset,ISRAM write preload (bytes), ISRAM write preload energy (pJ),
Conv1,0,51,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,18513,33792,244549.3248,
Conv1,0,52,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,18876,33792,244549.3248,
Conv1,0,53,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,19239,33792,244549.3248,
Conv1,0,54,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,19602,33792,244549.3248,
Conv1,0,55,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,19965,33792,244549.3248,
Conv1,0,56,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,20328,33792,244549.3248,
Conv1,0,57,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,20691,33792,244549.3248,
Conv1,0,58,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,21054,33792,244549.3248,
Conv1,0,59,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,21417,33792,244549.3248,
Conv1,0,60,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,21780,33792,244549.3248,
